7 -1 58 -6
28 94 10 10 10 10

Coordinates
1       1.7584       8.9477       2.0086
2        3.767       8.9477            0
3     -0.25017       8.9477            0
4      0.88802       6.9828            0
5      0.88802       6.9828            0
6       1.7584       8.9477      -2.0086
7       1.7584       4.9091       2.0086
8     -0.25017       4.9091            0
9        3.767       4.9091            0
10       1.7584       4.9091      -2.0086
11       2.5903       2.2368            0
12       2.5903       2.2368            0
13       1.7584      0.69213       2.0086
14     -0.25017      0.69213            0
15        3.767      0.69213            0
16       1.7584      0.69213      -2.0086
17       2.4261      -2.4184     -0.26689
18       2.4261      -2.4184     -0.26689
19       1.7584      -3.5803       2.0086
20        3.767      -3.5803            0
21     -0.25017      -3.5803            0
22       1.7584      -3.5803      -2.0086
23      0.88802      -5.6869            0
24      0.88802      -5.6869            0
25       1.7584      -7.6518       2.0086
26        3.767      -7.6518            0
27     -0.25017      -7.6518            0
28       1.7584      -7.6518      -2.0086
EndCoordinates

Elements
1 25 26 28 22
2 28 27 25 24
3 28 27 24 21
4 27 25 24 19
5 27 24 21 19
6 24 21 19 22
7 24 21 22 28
8 19 24 22 25
9 1 6 2 7
10 6 1 3 5
11 3 6 5 10
12 1 3 5 8
13 3 5 8 10
14 5 8 10 7
15 5 8 7 1
16 10 5 7 6
17 21 19 22 13
18 8 10 7 16
19 7 5 1 6
20 22 24 28 25
21 6 9 2 7
22 10 9 6 7
23 10 9 7 11
24 10 9 11 15
25 9 11 15 13
26 11 15 13 16
27 11 15 16 10
28 13 11 16 14
29 11 16 14 7
30 13 11 14 7
31 15 13 16 17
32 16 13 14 22
33 9 7 11 13
34 16 11 10 7
35 25 20 26 17
36 20 26 17 22
37 17 20 22 16
38 25 20 17 19
39 20 17 19 15
40 17 25 19 22
41 19 17 22 13
42 20 17 15 16
43 26 25 17 22
44 22 17 16 13
45 19 17 13 15
46 7 14 8 16
47 22 14 21 13
48 25 26 28 22
49 28 27 25 23
50 28 27 23 21
51 27 25 23 19
52 27 23 21 19
53 23 21 19 22
54 23 21 22 28
55 19 23 22 25
56 1 6 2 7
57 6 1 3 4
58 3 6 4 10
59 1 3 4 8
60 3 4 8 10
61 4 8 10 7
62 4 8 7 1
63 10 4 7 6
64 21 19 22 13
65 8 10 7 16
66 7 4 1 6
67 22 23 28 25
68 6 9 2 7
69 10 9 6 7
70 10 9 7 12
71 10 9 12 15
72 9 12 15 13
73 12 15 13 16
74 12 15 16 10
75 13 12 16 14
76 12 16 14 7
77 13 12 14 7
78 15 13 16 18
79 16 13 14 22
80 9 7 12 13
81 16 12 10 7
82 25 20 26 18
83 20 26 18 22
84 18 20 22 16
85 25 20 18 19
86 20 18 19 15
87 18 25 19 22
88 19 18 22 13
89 20 18 15 16
90 26 25 18 22
91 22 18 16 13
92 19 18 13 15
93 7 14 8 16
94 22 14 21 13
EndElements

Dirichlet_x
3           10
6           10
8           10
10           10
14           10
16           10
21           10
22           10
27           10
28           10
EndDirichlet_x

Dirichlet_y
2           10
6           10
9           10
10           10
15           10
16           10
20           10
22           10
26           10
28           10
EndDirichlet_y

Dirichlet_z
1           10
3           10
7           10
8           10
13           10
14           10
19           10
21           10
25           10
27           10
EndDirichlet_z

Neumann
1            5
2            5
7            5
9            5
13            5
15            5
19            5
20            5
25            5
26            5
EndNeuman
